timestamp(Asia/Seoul),temp(°C),humid,co2,voc,pm25,light,noise
2019-09-09 20:15,27.4,49.6,5000,638.4,0,333.9,53.3
2019-09-09 20:30,27.4,45.7,5000,624.9,0,334.2,53.8
2019-09-09 20:45,27,44.9,5000,633.9,0,338.5,53.4
2019-09-09 21:00,26.9,44.8,5000,665.4,0,336.9,53.3
2019-09-09 21:15,26.8,44,5000,688.3,0,337.5,53.2
2019-09-09 21:30,26.5,44,5000,714.9,0,337.5,53.6
2019-09-09 21:45,27.2,46.3,5000,839.9,0,336.1,52.4
2019-09-09 22:00,26.8,50.5,5000,854,0,340.4,52.9
2019-09-09 22:15,25.5,51.6,5000,810.4,0,342.7,52.9
2019-09-09 22:30,25.3,47.8,5000,692.9,0,345.4,52.5
2019-09-09 22:45,25.4,47.2,5000,669.2,0,346.6,52
2019-09-09 23:00,25.6,47.9,5000,673.5,0,346.9,52.3
2019-09-09 23:15,25.5,47.3,5000,633,0,347.6,51.7
2019-09-09 23:30,25.4,46.3,5000,597,0,348.4,51.4
2019-09-09 23:45,25.7,45.7,5000,587.5,0,348.7,50
2019-09-10 0:00,26.1,46.2,5000,592,0,298.3,50.1
2019-09-10 0:15,26.2,46.9,5000,586.2,0,0,49.9
2019-09-10 0:30,26.3,47.3,5000,583.5,0,0,50
2019-09-10 0:45,26.4,47.4,5000,579.6,0,0,50
2019-09-10 1:00,26.5,47.9,5000,576.7,0,0,50
2019-09-10 1:15,26.5,48.4,5000,570.2,0,0,50
2019-09-10 1:30,26.5,48.9,5000,563.9,0,0,50
2019-09-10 1:45,26.5,49.6,5000,554.7,0,0,50
2019-09-10 2:00,26.4,50.3,4999,547,0,0,49.9
2019-09-10 2:15,26.4,50.8,4993.7,542.2,0,0,49.9
2019-09-10 2:30,26.5,50.9,4940.3,539.9,0,0,49.9
2019-09-10 2:45,26.5,51.2,4815.8,535.3,0,0,49.9
2019-09-10 3:00,26.5,51.4,4690.3,531.7,0,0,50
2019-09-10 3:15,26.7,50.4,4446.6,512,0,283.1,52.4
2019-09-10 3:30,26.1,46.8,3760.4,433.8,0,349.4,52.8
2019-09-10 3:45,25.6,57,2565.3,375.6,0,270.3,50.4
2019-09-10 4:00,26.3,62.4,1719.8,324.5,0,11.9,49.9
2019-09-10 4:15,27,62.6,1430.9,282.9,0,0,50.1
2019-09-10 4:30,27,64,1215.5,251.8,0,0,50.2
2019-09-10 4:45,27.1,64.3,1107.3,234.9,0,0,50
2019-09-10 5:00,27.1,64.5,1060.4,225.5,0,0,50
2019-09-10 5:15,27.1,64.7,1007.1,213.9,0,0,50.2
2019-09-10 5:30,27.1,64.5,997.7,211.4,0,0,50.2
2019-09-10 5:45,27.2,64.6,976.7,202.8,0,0,50.2
2019-09-10 6:00,27.2,64.9,909.7,192.5,0,0,50.2
2019-09-10 6:15,27.2,65.3,843.9,178.8,0,0.2,50.1
2019-09-10 6:30,26.1,65.2,884,188.6,0,5.2,51.7
2019-09-10 6:45,25.1,59.1,811.6,144.7,0,14.9,51.7
2019-09-10 7:00,25.3,60,769.7,139.1,0,31.8,51.3
2019-09-10 7:15,25.8,63.3,750.3,156.1,0,308.4,51.9
